countrycode,country,year,pop,avh,hc,rgdpna,labsh,irr,delta,xr,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,rgdpna_per_cap,emp_percent,co2_emission,employment_agro,employment_industry,employment_services,inflation,population_15_64,population_above_65,population_under_14,unemployment,urban_population,hdi,immigration
FIN,Finland,1992,5.044925,1706.447314002114,2.9935903549194336,137701.609375,0.6799108982086182,0.03571842238306999,0.039043109863996506,0.753387725308751,0.5125815272331238,0.2941839098930359,0.18875306844711304,0.39066407084465027,-0.3679414391517639,-0.0182411540299654,27295.075620549364,43.15952251932645,10.3689176817417,8.36999988555908,28.1599998474121,63.470001220703104,0.8877467836779829,66.9468822628681,13.8288279805944,19.224289756537498,11.6,80.128,0.801,14554.0
FIN,Finland,1993,5.071789,1705.865145531666,3.0105113983154297,136790.03125,0.6335374116897583,0.04924779012799263,0.03852620720863342,0.9607384907600356,0.5073720812797546,0.2732965052127838,0.17945744097232819,0.3845764398574829,-0.32615068554878235,-0.018551772460341454,26970.765394617167,40.483988433917695,10.551773264380301,8.27999973297119,27.780000686645497,63.939998626709006,1.76590123152506,66.8038437718919,13.998176974633601,19.1979792534745,16.2,80.40899999999999,0.805,14795.0
FIN,Finland,1994,5.097097,1726.8401486988848,3.0275280475616455,142211.09375,0.6073748469352722,0.058677494525909424,0.03796214982867241,0.8785317362207836,0.49294742941856384,0.28545281291007996,0.1676124930381775,0.43804049491882324,-0.3749217987060547,-0.009131406433880329,27900.409537036474,39.64952277890495,11.777924125641901,8.03999996185303,27.7099990844727,64.25,1.8454109565116599,66.7167409213519,14.1485437691298,19.134715309518302,16.43,80.688,0.815,11611.0
FIN,Finland,1995,5.119005,1732.4525185796863,3.0446407794952393,148207.9375,0.5906221866607666,0.0689840093255043,0.03763071447610855,0.7344206122152649,0.47441691160202026,0.28781819343566895,0.1522451639175415,0.4818829894065857,-0.38382256031036377,-0.012540656141936779,28952.489302120237,40.30509882504289,10.981265870366599,7.7600002288818395,27.600000381469698,64.65000152587889,4.201113189227979,66.7043302360517,14.281193317842,19.0144764461062,17.01,80.96300000000001,0.823,12222.0
FIN,Finland,1996,5.136979,1730.976833054693,3.0618505477905273,153642.984375,0.5926917195320129,0.07028903067111969,0.037565335631370544,0.7725796495972741,0.5049397349357605,0.28113025426864624,0.15334421396255493,0.4909372925758362,-0.4180625379085541,-0.012288943864405155,29909.21013595734,40.85218107075159,12.2097977724193,7.889999866485599,27.0900001525879,65.01999664306639,-0.0782759655458847,66.60644320329129,14.4355077176683,18.9580490790404,15.57,81.223,0.83,13294.0
FIN,Finland,1997,5.151746,1726.785549293172,3.079157590866089,163374.421875,0.5786010026931763,0.0782395675778389,0.0377199612557888,0.8731366880097146,0.4908209443092346,0.2796865999698639,0.1576138436794281,0.4751489758491516,-0.39355966448783875,-0.009710718877613544,31712.437273693227,42.11419239965618,11.7941529251425,7.78000020980835,27.4200000762939,64.8000030517578,2.0804217710311397,66.6400672703973,14.581076008017499,18.7788567215853,14.97,81.46600000000001,0.838,13564.0
FIN,Finland,1998,5.164242,1716.5051182172297,3.096562385559082,172290.0625,0.5691027641296387,0.08375772088766098,0.03805835172533989,0.8988073513821403,0.47997426986694336,0.2797209322452545,0.1545967012643814,0.4798247218132019,-0.3871847987174988,-0.00693188002333045,33362.12022984206,42.84080914499626,11.112840249477198,7.110000133514401,28.260000228881804,64.629997253418,3.0979375318242903,66.7461943108011,14.7209600169783,18.532845672220603,13.21,81.707,0.846,14192.0
FIN,Finland,1999,5.175926,1716.14964718413,3.114065408706665,179835.640625,0.5733091235160828,0.08218884468078613,0.03844531998038292,0.9386272758333333,0.47929123044013977,0.26384615898132324,0.1576826423406601,0.447335422039032,-0.3584899604320526,0.010334544815123081,34744.63132297487,43.622324392611176,10.9399447175613,6.380000114440921,27.7299995422363,65.8899993896484,0.927035885223574,66.8377020846125,14.857167587017301,18.3051303283702,11.69,81.946,0.854,14744.0
FIN,Finland,2000,5.1879539999999995,1704.7134533437688,3.131667375564575,190218.203125,0.5662558078765869,0.08429352194070816,0.038792163133621216,1.0854008333333334,0.4653553366661072,0.2714020013809204,0.15890471637248993,0.4843742847442627,-0.37431812286376953,-0.0057182032614946365,36665.36039544684,44.43019707902603,10.6448561099446,6.21000003814697,27.9500007629395,65.83999633789061,1.63783143233083,66.8701187404514,14.993926314689801,18.135954944858803,11.13,82.18299999999999,0.864,16895.0
FIN,Finland,2001,5.200476999999999,1689.9165061014771,3.151494026184082,195182.9375,0.5603886842727661,0.08521541953086853,0.03914068639278412,1.11751,0.463685542345047,0.2606440782546997,0.16535204648971558,0.48091793060302734,-0.37925997376441956,0.008660390973091125,37531.73747331255,45.01727611746263,11.7752324206131,5.84000015258789,27.0799999237061,67.0800018310547,3.30338088882533,66.913861939972,15.2071819565782,17.8789561034497,10.29,82.368,0.871,18955.0
FIN,Finland,2002,5.213366,1682.4987311791574,3.1714465618133545,198515.0,0.565241277217865,0.08509188890457153,0.03939056396484375,1.0625516666666666,0.47225019335746765,0.24321182072162628,0.17365902662277222,0.478903591632843,-0.3798532485961914,0.011828581802546978,38078.086211480266,45.46399482982686,12.1985971613264,5.53000020980835,27.149999618530302,67.3300018310547,0.9442642976015779,66.8596641785748,15.4161246304211,17.724211191004,10.42,82.50299999999999,0.874,18113.0
FIN,Finland,2003,5.227093,1676.4135021097047,3.1915249824523926,202492.796875,0.5692667365074158,0.08315904438495636,0.03951851651072502,0.8860341666666667,0.48211270570755005,0.25187793374061584,0.16840359568595886,0.5161225199699402,-0.42535650730133057,0.006839804816991091,38739.084396432205,45.463141925200524,13.755957685899197,5.28000020980835,26.7000007629395,68.02999877929689,0.18992370622940802,66.7540638745092,15.622182348773999,17.6237537767168,10.47,82.63799999999999,0.877,17838.0
FIN,Finland,2004,5.24217,1677.691500524659,3.211730480194092,210576.515625,0.563991367816925,0.0842396467924118,0.039639491587877274,0.805365,0.47703298926353455,0.2688857614994049,0.16504499316215515,0.5404432415962219,-0.4654471278190613,0.014040136709809303,40169.7227722489,45.57042333127768,12.945251227388802,5.01000022888184,26.0699996948242,68.9199981689453,0.602661249044417,66.6701575874113,15.8253738432748,17.5044685693139,10.36,82.772,0.904,20333.0
FIN,Finland,2005,5.258927,1667.038736615817,3.2320640087127686,216430.21875,0.5728318095207214,0.0782112255692482,0.03974824771285057,0.8041200000000001,0.4747731685638428,0.29520148038864136,0.16446693241596222,0.5464985966682434,-0.49183666706085205,0.010896475985646248,41154.8246914247,46.108571797855284,10.5716708195961,4.82999992370605,25.809999465942397,69.370002746582,0.9289412154385841,66.6336497920584,16.0270526668273,17.339297541114398,8.38,82.905,0.908,21355.0
FIN,Finland,2006,5.2774909999999995,1661.7432235026781,3.2525265216827393,225146.75,0.5748664736747742,0.07669728994369507,0.03981086611747742,0.7971408333333333,0.4806365966796875,0.2776968479156494,0.17161357402801514,0.6046284437179565,-0.5474047064781189,0.012829169631004333,42661.702312708825,46.79594335767057,12.7262797867484,4.67000007629395,25.690000534057603,69.6399993896484,0.9207234146128659,66.603770617515,16.1992696908436,17.1969596916414,7.72,83.037,0.912,22451.0
FIN,Finland,2007,5.297739,1658.0253285164158,3.273118257522583,237078.03125,0.5591527819633484,0.08111362159252167,0.0399138517677784,0.7306375000000002,0.47471749782562256,0.2820199429988861,0.1745588630437851,0.5985622406005859,-0.5491573214530945,0.019298741593956947,44750.794867395314,47.6277805520848,12.3092165968325,4.53999996185303,25.719999313354503,69.75,2.7532807031041004,66.6243656020049,16.3577707395551,17.01786365844,6.85,83.16799999999999,0.915,26029.0
FIN,Finland,2008,5.319449,1653.7998524329153,3.2938404083251953,238936.71875,0.5703229308128357,0.07384070008993149,0.04009748622775078,0.6826747112398731,0.49061858654022217,0.29230520129203796,0.19057254493236542,0.580069363117218,-0.5760358572006226,0.02247021347284317,44917.56923508432,48.464267948694506,10.6636072314539,4.519999980926509,25.149999618530302,70.3300018310547,3.03723677240961,66.6314499866434,16.5460746028395,16.8224754105171,6.37,83.29899999999999,0.917,29114.0
FIN,Finland,2009,5.342262,1632.5205195633116,3.3146939277648926,219643.90625,0.6079131364822388,0.056492142379283905,0.04014082998037338,0.719843359785615,0.513939619064331,0.26886725425720215,0.2115590125322342,0.42489251494407654,-0.4347282350063324,0.01546984352171421,41114.4017740051,47.00993743652527,10.1482129836065,4.63000011444092,23.9500007629395,71.4300003051758,1.7739052214677098,66.5241989254739,16.825120145736,16.6506809287901,8.25,83.429,0.912,26699.0
FIN,Finland,2010,5.365781999999999,1637.912374233375,3.335679292678833,226641.65625,0.596794068813324,0.06350179016590118,0.039950836449861526,0.755044951989835,0.5227499604225159,0.2745056748390198,0.20754924416542053,0.458644837141037,-0.47439444065093994,0.010944715701043606,42238.32728388892,46.51382216925871,11.6587537047727,4.44000005722046,23.2999992370605,72.2600021362305,0.322930666499261,66.247846073508,17.229566911216303,16.5225870152757,8.39,83.77,0.916,25636.0
FIN,Finland,2011,5.390038,1630.3018346813967,3.3540232181549072,232415.71875,0.6000691652297974,0.06333436816930771,0.03965427726507187,0.719355253609154,0.5489928722381592,0.29491379857063293,0.2168571949005127,0.48142004013061523,-0.5552815198898315,0.01309754978865385,43119.49540058902,47.03734062693665,10.2296246366182,4.230000019073491,23.0,72.7799987792969,2.6235333499222,65.77964756463679,17.7331402858384,16.487212149524698,7.78,84.31299999999999,0.92,29481.0
FIN,Finland,2012,5.41477,1619.733187277493,3.3724677562713623,229167.609375,0.6139835715293884,0.05572379380464554,0.03936135768890381,0.778293601412852,0.5586363673210144,0.2938365340232849,0.21415390074253082,0.4587550759315491,-0.522491991519928,-0.002889917930588126,42322.68579736535,47.213035978874736,9.126388006141891,4.15999984741211,22.7900009155273,73.05999755859379,2.97397234009919,65.1978200366775,18.3438447062387,16.4583352570839,7.69,84.84100000000001,0.921,31278.0
FIN,Finland,2013,5.438981999999999,1612.173296014507,3.3910138607025146,227101.203125,0.6103990077972412,0.0555516853928566,0.03902551904320717,0.75315918184727,0.5716041326522827,0.28006207942962646,0.228974848985672,0.48260587453842163,-0.5646180510520935,0.0013710809871554375,41754.35828340671,46.639325893203655,9.22784673280171,4.13000011444092,22.850000381469698,73.0199966430664,2.5582945097385696,64.5476120347521,19.0107817970348,16.4416061682131,8.19,85.125,0.928,31941.0
FIN,Finland,2014,5.461411,1609.5339905768699,3.4096620082855225,226272.5,0.6012968420982361,0.05732171609997749,0.03868136927485466,0.753730736717402,0.5727663040161133,0.2673918902873993,0.23125191032886505,0.4676153063774109,-0.538597822189331,-0.00042765462421812117,41431.142977519914,46.24543661471678,8.45187193583022,4.26000022888184,21.899999618530302,73.8499984741211,1.63162333665335,63.9153141926143,19.658894011089803,16.4257917962959,8.66,85.175,0.928,31507.0
FIN,Finland,2015,5.481122,1607.1400269434978,3.428412675857544,227502.671875,0.5934157967567444,0.059870749711990356,0.03837808221578598,0.901658961641278,0.5622757077217102,0.2542494833469391,0.23196767270565033,0.39897239208221436,-0.4438779354095459,-0.0035873893648386,41506.587861937754,46.05868643231062,7.81453741205224,4.2199997901916495,21.7000007629395,74.0699996948242,1.6167464970492602,63.360968794345396,20.244376972452,16.3946542332026,9.38,85.225,0.93,28746.0
FIN,Finland,2016,5.497713,1606.3032502366677,3.4472663402557373,233898.796875,0.5883380770683289,0.061061374843120575,0.038128990679979324,0.904035127950359,0.5576499700546265,0.26649004220962524,0.2296614646911621,0.3739074170589447,-0.42813315987586975,0.00042426446452736855,42544.74485572455,46.13394451207084,8.31801267373246,3.8699998855590803,22.1599998474121,73.9800033569336,0.0874254582934526,62.87518100708421,20.7909543477442,16.3338646451715,8.82,85.275,0.932,34905.0
FIN,Finland,2017,5.511371,1600.3200874385197,3.466223955154419,241547.703125,0.5678055882453918,0.06578657776117325,0.03795868530869484,0.88520550826938,0.547566294670105,0.2752189636230469,0.22871850430965424,0.4163716733455658,-0.4776526093482971,0.009777218103408813,43827.153556710306,46.508721417263786,7.80833860122355,3.75999999046326,22.1599998474121,74.0800018310547,0.8192628972587809,62.47008230801371,21.2787526007594,16.251165091226802,8.64,85.325,0.935,31797.0
FIN,Finland,2018,5.522576,1597.730474848635,3.485285758972168,245213.390625,0.5712717175483704,0.06330093741416931,0.03789572790265083,0.846772667108096,0.5507070422172546,0.28589382767677307,0.2314954251050949,0.43854814767837524,-0.506463885307312,-0.00018058116256725043,44401.994762045826,47.61287118398596,8.042752049895519,3.7100000381469704,22.3400001525879,73.9499969482422,2.00220922746736,62.134029481894,21.7207875455222,16.1451829725838,7.36,85.382,0.937,31106.0
