countrycode,country,year,pop,rgdpna,delta,xr,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,rgdpna_per_cap,emp_percent,co2_emission,employment_agro,employment_industry,employment_services,export,import,inflation,net_migration,population_15_64,population_above_65,population_under_14,unemployment,urban_population,hdi
HRV,Croatia,1996,4.574888,70192.671875,0.0348251275718212,5.434161166666667,0.614628791809082,0.1637769639492035,0.3098329901695251,0.1881022453308105,-0.3493032157421112,0.0729622244834899,15343.036130064826,36.452203441147866,3.36617807345334,19.8899993896484,29.1499996185303,50.9599990844727,30.5127063615646,36.9960755553906,3.807498888843,-179219.0,67.7682382606962,14.1174166449539,18.1143450943499,9.68,52.509,0.715
HRV,Croatia,1997,4.532401,74932.7265625,0.0347458459436893,6.160582583333334,0.6393051147460938,0.2112442255020141,0.2933996617794037,0.1758498847484588,-0.391330361366272,0.0715314596891403,16532.67805794324,36.68467814673981,3.75971351203549,17.7700004577637,29.5400009155273,52.689998626709,31.2570021778715,44.1400236180256,6.84747592067005,-188129.0,67.5995349926011,14.5127935502618,17.8876714571372,9.71,52.739,0.727
HRV,Croatia,1998,4.491906999999999,76433.59375,0.0348102450370788,6.363285666666666,0.6161897778511047,0.1883343011140823,0.2893287241458893,0.1827712506055832,-0.3596558570861816,0.0830318555235862,17015.84510765695,36.6188345014218,4.07534197458814,17.2099990844727,29.4899997711182,53.310001373291,29.3351965078856,36.0924012815427,8.14105604636256,-151019.2,67.3990801679554,14.8785582604448,17.7223615715998,11.39,52.968,0.738
HRV,Croatia,1999,4.456437,75808.53125,0.0349019169807434,7.1117428333333335,0.5972769856452942,0.1821910142898559,0.2849577963352203,0.1711001843214035,-0.3245013356208801,0.0889753624796867,17011.018275362134,36.79100526338762,4.10185088542141,16.8500003814697,29.0900001525879,54.060001373291,30.3662701004614,36.4013139828794,3.53684127239262,-113909.4,67.2253865588137,15.2270973425631,17.5475160986232,13.56,53.198,0.747
HRV,Croatia,2000,4.428075,78293.9921875,0.0351430289447307,8.277666416666667,0.5970505475997925,0.1794042438268661,0.2543388605117798,0.1760820150375366,-0.3210059702396393,0.114130288362503,17681.270571862493,37.72047284093336,4.03956581269574,16.5200004577637,29.1700000762939,54.310001373291,35.3063686899188,39.8446337295262,4.36128166891801,-76799.59999999999,67.1123682412787,15.5657029296026,17.3219288291187,16.06,53.428,0.757
HRV,Croatia,2001,4.408075,80914.4453125,0.0355638414621353,8.341541000000001,0.6168040633201599,0.2013884633779525,0.2301115840673446,0.1754487156867981,-0.3650079667568207,0.1412550956010818,18355.95930479858,38.31420897745189,4.46548805691265,16.0100002288818,29.6900005340576,54.2999992370605,37.4386459661129,42.6738869677763,4.30579982382835,-39689.79999999999,66.9025821929073,15.9739795715817,17.123438235511,15.82,53.642,0.768
HRV,Croatia,2002,4.395799,85053.890625,0.0361917316913604,7.871682499999999,0.6409808993339539,0.2317357361316681,0.2228179275989532,0.1705274283885955,-0.3879086077213287,0.1218466311693191,19348.90349285761,38.60232415073462,4.71389581174541,15.5500001907349,29.8199996948242,54.6300010681152,36.2125231975375,45.7263980641165,3.85709968929224,-2580.0,66.8456405763776,16.3977697797374,16.756589643885,15.05,53.81,0.774
HRV,Croatia,2003,4.388895,89851.203125,0.0369833521544933,6.704968833333334,0.6397303938865662,0.2701882719993591,0.2131996005773544,0.1815197765827179,-0.4312418699264526,0.1266038864850998,20472.397522611045,39.56065645025907,5.02161198624622,16.8700008392334,30.25,52.8800010681152,35.891458674545,46.360395545361,4.29713705837209,-4163.8,66.8908688861319,16.7934981356355,16.3156329782326,13.92,53.979,0.78
HRV,Croatia,2004,4.383882,93589.34375,0.0379301570355892,6.034340666666666,0.6374742984771729,0.2771196961402893,0.2117894738912582,0.2112029492855072,-0.4574437737464905,0.1198573112487793,21348.508867255096,39.868787266805725,4.90405612600474,16.9699993133545,29.6399993896484,53.4000015258789,36.9045909960348,45.5121151298628,3.61002912947706,-5747.6,66.9626372242683,17.0888951846788,15.9484675910529,13.66,54.147,0.786
HRV,Croatia,2005,4.378058,97626.8125,0.0388423912227153,5.949236916666667,0.6276107430458069,0.2873251438140869,0.2100476771593094,0.2202374190092086,-0.4730243682861328,0.1278033703565597,22299.11355674137,40.24574284103426,4.98127093172039,17.2999992370605,28.6299991607666,54.0699996948242,36.7367008262631,45.5237364778878,3.12942369267166,-7331.4,67.0216109517051,17.2475330386212,15.7308560096737,12.6,54.315,0.792
HRV,Croatia,2006,4.370777,102509.1953125,0.0397345535457134,5.83779325,0.5885699391365051,0.3244631886482239,0.2104096859693527,0.2235390394926071,-0.482168972492218,0.1351871341466903,23453.311690919032,41.5037665975516,5.01489274693882,14.25,29.3500003814697,56.4099998474121,37.9267814946378,46.4685137151998,3.85368863432782,-8915.2,67.1403505600949,17.4125561656429,15.4470932742622,11.13,54.483,0.798
