"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Azerbaijan","AZE","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.3800010681152","45.3300018310547","46.0200004577637","45.6599998474121","45.0200004577637","45.2000007629395","45.8699989318848","46.5800018310547","46.5200004577637","48.1100006103516","49.2299995422363","48.2799987792969","48.4099998474121","48.560001373291","48.6100006103516","48.0999984741211","48.8300018310547","48.2799987792969","49.2200012207031","48.0499992370605","48.0400009155273","48.060001373291","48.5200004577637","48.9500007629395","49.5800018310547","49.3300018310547","49.2799987792969","49.0200004577637","49.2200012207031","",
"Burundi","BDI","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.34000015258789","5.38000011444092","5.36999988555908","5.38000011444092","5.36999988555908","5.3600001335144","5.42999982833862","5.59000015258789","5.78999996185303","5.98000001907349","6.21999979019165","6.48000001907349","6.65999984741211","6.94000005722046","7.15999984741211","7.48000001907349","7.76000022888184","8.09000015258789","8.40999984741211","8.77000045776367","9.11999988555908","9.51000022888184","9.92000007629395","10.3199996948242","10.2299995422363","10.2399997711182","10.2200002670288","10.3400001525879","10.4499998092651","",
"Belgium","BEL","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.8000030517578","66.4800033569336","67.9100036621094","68.2300033569336","69.0699996948242","69.620002746582","69.8000030517578","70.5199966430664","71.8399963378906","72.2799987792969","73.129997253418","72.4300003051758","73.3600006103516","72.8399963378906","73.2799987792969","73.3499984741211","73.7200012207031","73.7799987792969","75.0400009155273","75.2699966430664","75.4700012207031","77.0699996948242","76.9400024414063","77.3899993896484","77.3899993896484","77.4899978637695","78.0800018310547","77.9400024414063","78.2399978637695","",
"Benin","BEN","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.9799995422363","29.1100006103516","29.3500003814697","29.3400001525879","29.6499996185303","29.9300003051758","30.3099994659424","30.6900005340576","31.1399993896484","31.7000007629395","32.2900009155273","32.8400001525879","33.3300018310547","33.9099998474121","34.310001373291","34.8800010681152","35.6100006103516","36.2900009155273","36.7900009155273","37.2799987792969","37.8400001525879","38.5","39.2900009155273","40.0499992370605","40.4900016784668","41.1399993896484","41.8499984741211","42.6399993896484","43.4199981689453","",
"Burkina Faso","BFA","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.05999994277954","7.15999984741211","7.32999992370605","7.53000020980835","8.25","9.15999984741211","10.0500001907349","11.0600004196167","12.1800003051758","13.2299995422363","14.539999961853","15.8900003433228","17.4899997711182","19.0799999237061","20.9899997711182","22.8899993896484","24.7800006866455","26.8500003814697","28.7600002288818","31","33.0499992370605","34.9700012207031","36.6399993896484","38.0699996948242","40.4000015258789","42.8600006103516","45.310001373291","47.6699981689453","48.6399993896484","",
"Bangladesh","BGD","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9099998474121","18.3899993896484","20","21.7099990844727","23.5799999237061","25.6000003814697","25.2000007629395","24.9099998474121","24.6700000762939","24.4899997711182","26.3999996185303","28.3899993896484","30.5100002288818","32.7200012207031","35.0499992370605","37.4099998474121","36.8699989318848","36.2900009155273","35.6800003051758","35.0699996948242","35.3800010681152","35.6800003051758","35.9700012207031","36.2799987792969","36.5800018310547","36.8699989318848","38.9799995422363","39.7700004577637","40.3800010681152","",
"Bulgaria","BGR","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.3300018310547","40.810001373291","42.5099983215332","44.1300010681152","45.8899993896484","47.3899993896484","49.0900001525879","50.5699996948242","52.3300018310547","53.9700012207031","57.5400009155273","56.6300010681152","56.7299995422363","56.3400001525879","56.8199996948242","57.4199981689453","56.9599990844727","56.0999984741211","57.6699981689453","60.2099990844727","61.7700004577637","62.2400016784668","63.1500015258789","62.8800010681152","63.25","63.4599990844727","63.0900001525879","63.310001373291","63.3600006103516","",
"Bahrain","BHR","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.0400009155273","69.2200012207031","68.9700012207031","69.25","69.4800033569336","69.6999969482422","69.9000015258789","70.1699981689453","70.2799987792969","69.879997253418","69.8600006103516","69.8199996948242","69.4700012207031","68.6100006103516","67.629997253418","66.4700012207031","65.370002746582","64.2699966430664","64.3499984741211","63.2000007629395","63.7000007629395","63.9500007629395","63.8199996948242","63.689998626709","63.7700004577637","63.5999984741211","63.5099983215332","63.6300010681152","63.810001373291","",
"Bahamas, The","BHS","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.4199981689453","79.4499969482422","82.2900009155273","81.6600036621094","81.4199981689453","80.2099990844727","81.5100021362305","81.1699981689453","79.25","78.879997253418","78.75","79.5999984741211","81.1500015258789","79.4899978637695","78.6900024414063","79.1900024414063","79.7399978637695","80.8199996948242","81.0599975585938","81.1800003051758","81.379997253418","81.4199981689453","81.9100036621094","82.129997253418","82.629997253418","82.7600021362305","82.8300018310547","83.1500015258789","83.3099975585938","",
"Bosnia and Herzegovina","BIH","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.0400009155273","37.2200012207031","37.6500015258789","38.5800018310547","39.7099990844727","41.0699996948242","42.0999984741211","42.9700012207031","44.0800018310547","44.8899993896484","45.810001373291","46.7000007629395","47.3699989318848","47.9000015258789","48.3400001525879","48.689998626709","47.5999984741211","46.9500007629395","47.2799987792969","49.4300003051758","51.5","49.0800018310547","51.3199996948242","52.9199981689453","51.8600006103516","50.7700004577637","51.4700012207031","52.1399993896484","50.3300018310547","",
