,countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k
245,ALB,Albania,Lek,1985,11049.2314453125,10957.0390625,2.9696719999999996,1.1883471012115479,,2.255577564239502,9141.1630859375,10841.974609375,10303.64453125,10212.86328125,50552.80859375,,,,14791.2294921875,9730.2333984375,13562.9912109375,93036.3046875,,,,,,0.030623257160186768,7.0,0.17892378568649292,0.2255914956331253,0.2275967299938202,Extrapolated,Benchmark,Market-based,Regular,,,,0.7404268980026245,0.16653621196746826,0.15463678538799286,0.05233290046453476,-0.03978434205055237,-0.07414843142032623,0.18666940927505493,0.47641122341156006,0.14183640480041504,0.34523627161979675,0.3288334608078003,0.23063987493515015,
246,ALB,Albania,Lek,1986,11681.791015625,11511.298828125,3.044212,1.2340143918991089,,2.3054399490356445,9586.23046875,11319.951171875,10908.19140625,10697.52734375,52593.05078125,,,,15618.755859375,10166.3662109375,14117.9228515625,96722.03125,,,,,,0.03034231998026371,7.0,0.17818713188171387,0.21975108981132507,0.22407859563827515,Extrapolated,Benchmark,Market-based,Regular,,,,0.7408511638641357,0.16206742823123932,0.15526531636714935,0.058833178132772446,-0.02734464593231678,-0.08967240899801254,0.18647392094135284,0.44956982135772705,0.13864657282829285,0.3794654905796051,0.3909338414669037,0.214789018034935,
247,ALB,Albania,Lek,1987,11882.93359375,11730.3349609375,3.124894,1.2791029214859009,,2.3564047813415527,9983.4345703125,11502.1142578125,11090.638671875,10873.8115234375,54594.53515625,,,,15495.66015625,10583.8359375,13997.9287109375,100378.2890625,,,,,,0.03000818006694317,7.0,0.17812363803386688,0.21443261206150055,0.21870850026607513,Extrapolated,Benchmark,Market-based,Regular,,,,0.7597041130065918,0.13966397941112518,0.15841315686702728,0.04829937964677811,-0.021644901484251022,-0.08443577587604523,0.18650729954242706,0.45311909914016724,0.13791806995868683,0.41057631373405457,0.43789035081863403,0.21490471065044403,
248,ALB,Albania,Lek,1988,11635.4306640625,11490.50390625,3.200977,1.306872010231018,,2.408496141433716,9944.1123046875,11495.5078125,10877.6611328125,10672.2626953125,56584.9375,,,,15275.5263671875,10519.2177734375,14061.1689453125,103851.2734375,,,,,,0.029687145724892616,6.670000076,0.1865297108888626,0.22618834674358368,0.23054154217243195,Extrapolated,Benchmark,Market-based,Regular,,,,0.7754666805267334,0.14536705613136292,0.15630505979061127,0.049896080046892166,-0.028518376871943474,-0.09851647168397903,0.1949971318244934,0.48039162158966064,0.14452089369297028,0.4425581097602844,0.4370676577091217,0.22525960206985474,
249,ALB,Albania,Lek,1989,12516.7646484375,12432.41015625,3.2579249999999997,1.3297441005706787,,2.4617390632629395,10540.4296875,12339.513671875,11729.6611328125,11567.5146484375,58894.53125,,,,16778.728515625,11084.6298828125,15374.615234375,107771.9375,,,,,,0.029399724677205086,6.1300001139999996,0.20177105069160461,0.2506966292858124,0.25421077013015747,Extrapolated,Benchmark,Market-based,Regular,,,,0.7624102234840393,0.1555289924144745,0.148799329996109,0.04805328696966171,-0.037072956562042236,-0.07771891355514526,0.2107224017381668,0.5373407006263733,0.1559065580368042,0.4697034955024719,0.43241333961486816,0.24450747668743134,
250,ALB,Albania,Lek,1990,12005.7568359375,12096.71875,3.286073,1.3240782022476196,,2.5161588191986084,11427.9365234375,12632.1533203125,11357.3408203125,11354.654296875,61056.90234375,,,,15105.7080078125,11854.1005859375,14634.3828125,111545.65625,,,,,,0.0291608776897192,7.562970081099616,0.1613113284111023,0.18893282115459442,0.18897753953933716,Extrapolated,Benchmark,Estimated,Regular,,,,0.8569525480270386,0.10605493187904358,0.14950139820575714,0.04201079532504082,-0.03951847553253174,-0.11500116437673569,0.16614866256713867,0.45105892419815063,0.1335834264755249,0.4598688781261444,0.4756949543952942,0.19797693192958832,
251,ALB,Albania,Lek,1991,9891.1533203125,10822.84765625,3.280395,1.317462682723999,,2.515733242034912,10998.87890625,11250.701171875,9346.98046875,10167.251953125,59704.40234375,,,,10875.7861328125,11228.6474609375,11402.5361328125,109313.25,,,,,,0.028644034639000893,9.913646890280349,0.16412962973117828,0.17087408900260925,0.15708835422992706,Extrapolated,Benchmark,Estimated,Regular,,,,0.8306472301483154,0.024767950177192688,0.25114744901657104,0.048234909772872925,-0.09837215393781662,-0.056425366550683975,0.1719977855682373,0.46545377373695374,0.13810643553733826,0.5253563523292542,0.49273383617401123,0.2052489072084427,
252,ALB,Albania,Lek,1992,7674.18359375,9767.3681640625,3.245886,1.0525181293487549,,2.515307903289795,12677.0869140625,12854.6796875,7261.63720703125,9041.9677734375,58528.24609375,,,,10094.130859375,13157.513671875,13071.34765625,106938.390625,,,,,,0.02782866731286049,32.275395949523606,0.2054947316646576,0.2087888866662979,0.167679101228714,Extrapolated,Benchmark,Estimated,Regular,,,,1.1498521566390991,0.019640913233160973,0.25217533111572266,0.053267791867256165,-0.24280107021331787,-0.23213517665863037,0.22186347842216492,0.4439356029033661,0.1308576464653015,0.4563933312892914,0.47172895073890686,0.19557686150074005,
253,ALB,Albania,Lek,1993,9402.02734375,11222.619140625,3.1951989999999997,0.991653323173523,,2.5148825645446777,12464.8408203125,13039.6826171875,8878.3828125,10468.994140625,58332.19921875,,,,11059.0703125,13027.9091796875,13802.9501953125,106315.1953125,,,,,,0.027229048311710358,71.14409735173915,0.18235117197036743,0.19152586162090302,0.16242627799510956,Extrapolated,Benchmark,Estimated,Regular,,,,0.9936733245849609,0.05490902438759804,0.19697028398513794,0.03555483743548393,-0.1722632646560669,-0.10884416103363037,0.19540266692638397,0.390468955039978,0.11650913208723068,0.45396748185157776,0.43300482630729675,0.17227284610271454,
254,ALB,Albania,Lek,1994,11298.6982421875,12672.1904296875,3.146519,1.0688788890838623,,2.5144572257995605,12704.19921875,13625.3798828125,10678.3125,11897.845703125,58954.8515625,,,,11977.291015625,13072.771484375,14662.5830078125,107272.015625,,,,,,0.02696826681494713,94.62333333333333,0.1624169498682022,0.17614683508872986,0.1580917090177536,Extrapolated,Benchmark,Market-based,Regular,,,,0.859124481678009,0.07742419093847275,0.20864857733249664,0.02866685763001442,-0.1110534742474556,-0.06281061470508575,0.176371768116951,0.3654983639717102,0.10495709627866745,0.45570772886276245,0.42110365629196167,0.1558532565832138,
